0,0,0,-6,46,2,13,1
0,0,0,-3,52,2,11,1
0,0,0,-1,48,2,11,1
0,0,0,0,44,2,13,1
1,0,1,-2,53,2,12,1
1,0,1,-2,50,2,13,2
1,0,1,-1,42,2,13,1
1,0,1,-1,42,2,13,1
0,0,0,-4,43,3,13,1
0,0,0,-8,42,4,12,1
0,0,0,-8,40,3,13,1
0,0,0,-8,48,4,12,1
0,0,0,-6,45,2,13,1
0,0,0,-7,40,4,13,1
0,0,0,-6,34,2,11,1
3,0,1,-3,81,2,3,1
1,0,1,-1,77,2,3,2
1,0,1,3,72,2,12,2
0,0,1,1,48,3,12,1
0,0,0,2,30,2,13,1
3,0,0,4,54,2,9,1
2,0,1,4,62,3,12,1
0,0,0,-9,39,5,13,1
3,0,1,-8,63,2,11,1
3,0,1,-5,65,3,11,1
0,0,0,-3,64,2,12,1
0,0,0,-2,53,2,11,1
0,0,0,2,42,2,3,1
0,0,0,3,37,2,12,1
0,0,0,6,47,3,3,1
0,0,0,6,50,3,3,0
0,0,0,5,52,2,3,0
1,0,1,5,72,2,11,1
1,0,1,6,68,2,11,1
1,0,1,4,66,2,12,2
2,0,1,4,71,2,13,2
1,0,1,3,70,2,12,2
1,0,1,3,80,2,12,2
1,0,1,3,57,2,11,2
1,0,1,5,48,3,12,1
2,0,1,5,69,3,11,1
2,0,1,6,74,3,11,3
2,0,1,7,56,3,3,3
2,0,1,10,85,5,9,1
1,0,1,4,73,2,13,2
3,0,1,-2,46,3,15,1
0,0,0,-6,29,4,13,1
0,0,0,-5,39,2,11,1
0,0,0,-2,41,2,13,1
3,0,1,1,51,2,3,1
3,1,1,-3,58,4,13,3
0,0,0,-2,54,2,11,2
1,0,1,3,60,2,3,2
0,0,0,6,55,2,12,1
2,0,1,8,68,2,12,1
2,0,1,3,47,3,13,1
0,0,0,2,35,3,12,1
0,0,0,4,34,3,13,1
0,0,0,5,32,2,11,1
0,0,0,3,30,3,11,1
0,0,0,4,36,2,15,1
